Domain;Vertical;AF_Lev_1;AF_Lev_2;Function_Name;Function_ID;Description;UID
Resource Domain;Strategy Management;Resource Strategic Analysis;Resource Infrastructure Analysis;Strategic Network Sizing Decision Support;528;Support Strategic Network Sizing Decisions supports strategic decisions as to which locations and which links to grow or shrink across the network.;3707
Resource Domain;Strategy Management;Resource Strategy Management;Resource Strategy Design and Planning;Network Forecasting;441;Network Forecasting supports forecasting functionality to be applied at different levels of detail and over different time frames. Some types of forecast are more relevant to Strategic and others more relevant to Tactical Planning. Both product volume forecasts and utilization trends are relevant to this automation function.;3709
Resource Domain;Capability Management;Resource Capability Management;Resource Test Resources Check;Resource Test Resources Availability Management;509;Resource Test Resources Availability Management manage that end to end test resources and test heads are available including acquisition of test resources.;3710
Resource Domain;Business Value Development;Resource Specification Management;Resource Test Policy and Schedule Management;Resource Testing Rules Configuration;506;Resource Testing Rules Configuration provides management of resource end to end testing rules.;3712
Resource Domain;Business Value Development;Resource Specification Management;Resource Test Policy and Schedule Management;Resource Test Result Analysis Policy Configuration;519;Resource Test Result Analysis Policy Configuration function provides the necessary functionality to manage how the Resource Test Strategy and Policy Management test results should be interpreted. Strategies can range from simple (e.g. - check the status of a router) to complex (e.g. - perform an end-to-end test on a circuit and sectionalize the problem).;3713
Resource Domain;Business Value Development;Resource Specification Management;Resource Specification Development;Resource Specification Repository Management;1083;"Resource Specification Repository Management is able to create, modify and delete Resource Specification.
This includes the ability to manage the state of an entity during its lifecycle (e.g. planned, deployed, in operation, replaced by locked).
It includes Resource Specifications retrieval, integrity rules check and versioning management.
It also provides Product Specification and Offering views adapted to the different roles.";3715
Resource Domain;Business Value Development;Resource Specification Management;Resource Specification Development;Resource Specification to Supplier Product Specification Relationship Design;1088;"Resource Specification to Supplier Product Specification Relationship Design identifies, when it corresponds to equipment rented to a Supplier  (devices, network equipments, hardware &amp; software, etc).";3716
Resource Domain;Business Value Development;Resource Specification Management;Resource Specification Development;Resource Specification Action Skill Design;1089;Resource Specification Action Skill Design manages the links to the Skill catalog to identify for each type of resource, or of Action on a resource, which type of skill is necessary to make the intervention.;3717
Resource Domain;Business Value Development;Resource Specification Management;Resource Specification Development;Resource Specification Change Auditing;1082;"Resource Specification Change Auditing manages the implications of Resource Specifications changes to determine the consequences of any given change. Resource Specifications changes may impact other Resource Specifications and Resource Facing Service Specit supports
The function logs Resource Specifications changes and supports the analysis of relationships between Resource Specifications. 
In addition, it tracks the history of changes in an easy and accessible manner.";3718
Resource Domain;Business Value Development;Resource Specification Management;Resource Specification Development;Resource Task Item Policy Control Configuration;996;Defines and configures the policies which will be implemented during the Resource task item lifecycle.;3719
Resource Domain;Business Value Development;Resource Specification Management;Resource Specification Development;Logical and Software Resources Designing;1064;Logical and Software Resources Designing supports physical, logical, and software design of resources including definition of configuration variables and initial parameters.;3720
Resource Domain;Capability Management;Network Development;Network Planning and Building;Physical Network Planning;1261;Physical Network Planning function focuses on the long-term network design of OSI layers 0-3 (physical network). This includes analysis of the network impact of a new resources, optimization of network resources, failure survivability analysis, forecasting and expansion to meet forecasted demand, and what-if analysis for new technology or different network designs. Responsible for engineering of all OSI layer 0-3 capacity and thereby monitors all equipment accordingly. Also manages capacity augmentation through hand-offs of provisioned capacity to network operations and coordinates the optimization of access facilities.;3840
Resource Domain;Capability Management;Network Development;Network Planning and Building;Configurable Network Planning;1262;Configurable Network Planning function is responsible for the planning and capacity management of configurable switch and wireless networks (OSI layers 4+). This includes actively managing firewalls, security, planning and capacity management of our national data centers responsible for SMS and MMS messaging. Additionally, this includes management of the VoIP platforms as well as trunk planning and forecasting for wireline and wireless networks.;3841
Resource Domain;Capability Management;Network Development;Network Planning and Building;Network Strategic Planning and Engineering;1263;Network Strategic Planning and Engineering function provides fundamental planning and engineering of wired and wireless networks across the globe. This function coordinates closely with technology labs,  network operations and network construction & engineering, as well as other functions. Externally, this function works with the equipment vendors and regulatory bodies on matters affecting the industry.;3842
Resource Domain;Capability Management;Network Development;Network Change Management;Network Change Notification;1286;Network Change Notification function supports identifying concerned parties and for originating notifications to them about changes to the communications network that may affect them, along with status updates for those changes.;3843
Resource Domain;Strategy Management;Resource Strategy Management;Resource Strategy Design and Planning;Design Automation;443;Provides design automation, applying algorithmic and heuristic analysis of the network in order, for example, to determine the optimum topology of a green field national, where geography and population distribution need to be taken into account.;3848
Resource Domain;Strategy Management;Resource Strategy Management;Resource Strategy Design and Planning;Network Planning Analyzing;444;Network Planning Analyzing provides complex algorithmic and heuristic analysis capability for network planning and make use of market forecasts and utilization trends, and can be used to optimize the network for capacity and resilience.;3849
Resource Domain;Capability Management;Resource Capability Management;Resource Deployment and Retirement;Resource Deployment and Retirement;1157;"Resource Deployment and Retirement Function is responsible for implementing the resource strategy high level plan and develop the resource infrastructure (network, PFS, IT...). 

The Resource Installed Base is updated and the resources are pre-configured and pre-activated if needed, for example for non-customer specific parameters, via the Resource Order Initialization and Installed Resource Management functions.";3850
Resource Domain;Business Value Development;Resource Specification Management;Resource Supervision Policy Development;Resource Supervision Measure Definition;1159;"Resource Supervision Measure Definition Function defines indicators (measures) associated with the resource type, with thresholds, calculation rules and consequences.
Examples:

	indicators with threshold: pressure, temperature
	indicators with calculation rules: storage occupation rate, load rate.
";3851
Resource Domain;Business Value Development;Resource Specification Management;Resource Test Policy and Schedule Management;Resource End to End Test Configuration;513;Resource End to End Test Configuration provides setting up and tearing down resource testing, including configuration end to end.;3852
Resource Domain;Business Value Development;Resource Specification Management;Resource Specification Development;Resource Data Transformation/Parsing Rules Configuration;467;Resource Data Transformation/Parsing Rules Configuration provides tools to set up and maintain resource data parsing rules.;3854
Resource Domain;Operations Readiness & Support;Resource Management;Location Management;Location Information Updating;431;Location Information Updating provides means to update the repository with new/updated location information from external sources.;3855
Resource Domain;Operations Readiness & Support;Resource Management;Location Management;Location Information Searching;432;Location Information Searching provides the ability to search for a provided location/address, as part of the Location Management, including the ability to return near matches if an exact match is not found.;3856
Resource Domain;Operations Readiness & Support;Resource Management;Regulated Logical Resources Management;Number Reservation;438;Provides the functionality to manage the reservation of numbers.;3857
Resource Domain;Operations Readiness & Support;Resource Management;Resource Repository Management;Resource Configuration Management;454;Resource Configuration Management provides configuration database and management of the configurations of the individual resources.;3859
Resource Domain;Operations Readiness & Support;Resource Management;Resource Simulation;Resource for Service Deployment Designing;458;Resource for Service Deployment Designing provides End-to-end resource design and architecture to support service deployments.;3860
Resource Domain;Operations Readiness & Support;Resource Management;Resource Simulation;Multi-layer Design and Modeling Support;460;Multi-layer Design and Modeling Support provides real world multi-layer modeling and design (physical, data, transport, etc.).;3861
Resource Domain;Operations Readiness & Support;Resource Management;AI Model Manager;AI Model Integration;1410;"AI Model Integrator function is integrates AI models with other systems or applications. It ensures that the models can interact correctly with other components in a system.
    - Input: AI models and target systems or applications for integration.
    - Output: Successfully Integrated AI models with other systems or applications.";3862
Resource Domain;Operations Readiness & Support;Resource Management;World Simulator;Agent Interaction Handling;1401;"Agent Interaction Handling function handles the interactions between different agents. It determines how agents communicate and interact with each other.
    - Input: Information about the agents and their intended interactions.
    - Output: Updated state of the agents after the interactions.";3863
Resource Domain;Operations Readiness & Support;Resource Test Management;Resource Test Conducting;Resource End to End Test Execution;514;Resource End to End Test Execution provides test execution of the end to end resource testing.;3864
Resource Domain;Operations Readiness & Support;Resource Test Management;Resource Test Conducting;Automated Resource Test Invocation;516;Automated Resource Test Invocation does invocation of Resource Test Services for test and retrieval of results from the resource testing capabilities. Automatic testing is performed to verify or dismiss an error indication by the automatic performance and quality super vision function.;3865
Resource Domain;Business Value Development;Supply Chain Development;Stock Item Management;Stock Item Definition;1221;The Stock Item Definition Function enables defining Stock Items with their characteristics and values.;4018
Resource Domain;Capability Management;Network Development;Network Planning and Building;Network Construction and Engineering;1260;Network Construction and Engineering function is responsible for planning, design, construction and capital maintenance of the network physical infrastructure.;4019
Resource Domain;Capability Management;Network Development;Network Change Management;Network Change Capture;1283;Network Change Capture function enables capturing detected changes and receiving planned changes to the communications network.;4020
Resource Domain;Fulfillment;Resource Provisioning;Resource Provisioning Design;Resource Provisioning Logical Design;1350;Resource Provisioning Logical Design function supports the design of layers 2-4 (per the OSI (Open Systems Interconnection) stack) of the service provider network in order to prepare for implementing a resource-based solution for either a standard service (for implementation of product specifications) or custom (for customer-specific services).;4021
Resource Domain;Fulfillment;Resource Provisioning;Resource Provisioning Monitoring;Resource Provisioning Oversight;1243;Resource Provisioning Oversight coordinates the implementation and activation of resources, and provides status of this provisioning on request.;4022
Resource Domain;Fulfillment;Resource Provisioning;Resource Configuration;Resource Configuration Implementation;1245;The Resource Configuration Implementation Function is in charge of changing Resource Configuration and its parameters.;4023
Resource Domain;Fulfillment;Resource Provisioning;Resource Activation;Resource Activation and Deactivation;1246;Resource Activation and Deactivation Function turns on and off configured resources.;4024
Resource Domain;Strategy Management;Resource Strategic Analysis;Resource Diagnostic and Test Quality Loop;Resource Diagnostic and Test Rules Improvement;1156;Resource Diagnostic and Test Rules Improvement Function provides improvements used to update the definition of diagnostic rules and correction actions in the Resource Problem Policy Management function and the definition of tests in the Resource Test Policy Management function.;4025
Resource Domain;Strategy Management;Resource Strategic Analysis;Resource Infrastructure Analysis;Network Deployment Optimization;525;Network Deployment Optimization determines optimum network deployments, such as tier structuring and resilient topologies.;4026
Resource Domain;Strategy Management;Resource Strategic Analysis;Supply Chain Planning Analysis;Supply Sourcing Planning;749;Supply Sourcing Planning plans sourcing taking into account current inventory and forecast demand, in collaboration with all suppliers.;4027
Resource Domain;;Resource;Strategic;Analysis;1154;Resource Performance Forecast Function calculates forecast (ex: loads linked to the uses, number of failures, etc.) concerning the resource performance indicators based on Resource Performance Analysis.;4028
Resource Domain;Strategy Management;Resource Strategy Management;Resource Strategy Design and Planning;Radio Planning;428;Provides Radio Planning for cell site coverage and quality and for cell-to-cell coverage is a specialist function used in Implementation Planning.;4029
Resource Domain;Capability Management;Resource Capability Management;Resource Deployment and Retirement;Resource Deployment Constraint Management;1158;Resource Deployment Constraint Management Function is responsible to manage constraints (like legal constraints or the need of a validation by authorities) and notify other companies, local authorities or governments of the effective deployment or retirement of resources like the implementation of FTTH (Fiber To The Home) technology in a building.;4030
Resource Domain;Business Value Development;Resource Specification Management;Resource Allocation Policy Development;Number Portability Policy Management;742;Number Portability Policy Management regulates policies, standards, definitions and restrictions defined by the entities involved in Resource Number Portability (country-specific regulatory entities).;4031
Resource Domain;Business Value Development;Resource Specification Management;Resource Supervision Policy Development;Resource Supervision Rules Definition;1160;"Resource Supervision Rules Definition Function defines alarm activation and Trouble Ticket creation rules:

	for alarm activation

          -  For example if a dysfunction is detected in its power supply, or in the functioning of the elements which constitutes it (card, port, internal ventilator) and also if its temperature exceeds a threshold.

	for a Trouble ticket creation next to a resource alarm qualification.
";4032
Resource Domain;Business Value Development;Resource Specification Management;Resource Test Policy and Schedule Management;Resource End to End Test Scheduling;512;Resource End to End Test Scheduling provides scheduling of end to end testing of resources.;4033
Resource Domain;Business Value Development;Resource Specification Management;Resource Trouble Policy Management;Resource Trouble Types and Rules Design;1161;"Resource Trouble Types and Rules Design Function allows to manage the resource problem typology describing all the types of known troubles related to a resource type.
It is also possible to define rules to manage Resource Trouble Tickets and Resource Trouble priorities, depending on criteria such as:

	Priority of the related Service Trouble Ticket(s) or Service Trouble(s) 
	Number of Product Trouble Tickets that can be expected, linked to the usage of the installed resource.
";4034
Resource Domain;Business Value Development;Resource Specification Management;Resource Specification Development;Resource Specification Design;1087;"Resource Specification Design manages Resource Specifications including constraints, characteristics and type of usages.
It specifies Physical, Logical and Compound Resource Specifications.
It includes resource types that as a Service Provider we don't own or commercialize (ex: mobile phones used by our customers).";4035
Resource Domain;Business Value Development;Work Specification Management;Work Specification Development;Work Specification Classification;553;Work Specification Classification provides classification of different types of manual activities provide the necessary functionality to appropriately classify the working activity types and related information.;4036
Resource Domain;Operations Readiness & Support;Resource Management;Resource Availability Management;Resource Availability Validation;448;"Resource Availability Validation function validates that the resource or resources specified on the resource order are available at the specified customer/service location and feasible from a network point of view. This includes the following:
- Resource address validation 
- Resource availability validation 
- Resource feasibility validation 
- Establishment of service termination points 
- Determination of delivery interval
 It includes checking appropriate network facility route(s) according to engineering rules.";4037
Resource Domain;Operations Readiness & Support;Resource Management;Location Management;Location Change History Management;429;Location Change History Management tracks all changes of location data, making available attributes according their historical values in certain periods.;4038
Resource Domain;Operations Readiness & Support;Resource Management;Regulated Logical Resources Management;Number Inventory Establishing;435;Number Inventory Establishing manages the establishment of a number inventory.;4039
Resource Domain;Operations Readiness & Support;Resource Management;Resource Allocation;Resource Parameters Reservation;487;Resource Parameters Reservation reserves the right resource parameters based on resource specification and resource inventory.;4040
Resource Domain;Operations Readiness & Support;Resource Management;Resource Audit and Discovery;Network Resources Scanning;464;Network Resources Scanning functions are responsible for discovering the resources and their details through out a management channel. These functions may either directly communicate with the Network resources or communicate through a Resource Domain Manager. The functions should be able to support retrieving the overall resource information or the detailed resource information which can include sub-components.;4041
Resource Domain;Operations Readiness & Support;Resource Management;Resource Geographical Association;Resource Locating;1250;Resource Locating tracks and provides when requested the geographic location of resources.;4042
Resource Domain;Operations Readiness & Support;Resource Management;Resource Mediation;Resource Data Translation;465;Resource Data Translation provides the functions that enable the OSS and the networked resource to exchange data and command and control by parsing of data from one format to another.;4043
Resource Domain;Operations Readiness & Support;Resource Management;Resource Repository Management;Physical Implementation Information Capturing;426;Physical Implementation Information Capturing provides levels of implementation details that tactical planning does not need to specify, such as duct routes and the frame appearances of device ports.;4044
Resource Domain;Operations Readiness & Support;Resource Management;Resource Simulation;Resource Architecture Modeling Support;457;Resource Architecture Modeling Support provide architecture modeling tools to include resources or resource changes.;4045
Resource Domain;Operations Readiness & Support;Resource Management;AI Model Manager;AI Model Repository Manager;1407;"AI Model Repository Manager function manages the storage of AI models in a central repository. It supports storing and easy access and sharing of models among different users, business partners or systems.
    - Input: AI models to be stored.
    - Output: A central repository with stored AI models.";4046
Resource Domain;Operations Readiness & Support;Resource Test Management;Resource Test Conducting;Resource Test Devices Accessing;504;Resource Test Devices Accessing of various resource test devices or network elements required to perform resource testing.;4048
Resource Domain;Operations Readiness & Support;Resource Test Management;Resource Test Inventory Management;Resource Test Results Management;508;Resource Test Results Management provides management of resource end to end test results.;4049
Resource Domain;Operations Readiness & Support;Resource Test Management;Resource Test Reporting;Resource Testing Results Reporting;510;Resource Testing Results Reporting provides reporting of resource end to end test results back to the client.;4050
Resource Domain;Operations Readiness & Support;Resource Test Management;Resource Test Analysis;Root Cause Analyzing;421;Root Cause Analyzing function includes the ability to isolate the root cause based on the correlation analysis, fault isolation and problem identification with the help of supporting integrated systems for rule based testing as well as integration with trouble ticketing systems.;4051
Resource Domain;Operations Readiness & Support;Work Order Management;Work Order Assignment and Plan;Work Order Assignment Dispatching;541;Dispatching of work order assignments to dispatchable staff.;4052
Resource Domain;Operations Readiness & Support;Work Order Management;Work Order Establishment;Work Orders Initiation;548;Work Orders Initiation initiates workforce orders for Resource preventive and corrective maintenance and change.;4053
Resource Domain;Assurance;Network Performance Management;Network Capacity Management;Network Capacity Analysis;1268;Network Capacity Analysis function is responsible for reviewing network traffic monitoring data, performing trend analysis, utilization history analysis and problem history analysis to determine anticipated and actual network asset utilization.   For ports, bandwidth and memory measures, this includes measures such as the current consumption, months to exhaust, and average monthly consumption.;4054
Resource Domain;Assurance;Network Performance Management;Network Traffic Management;Network Traffic Monitoring;1289;Network Traffic Monitoring function enables performing real-time and historical surveillance of network traffic to detect traffic problems or other anomalous traffic patterns, and to trigger alerts as necessary in order to enable resolution of traffic problems.;4055
Resource Domain;Fulfillment;Resource Order Management;Resource Order Completion;Resource Order Initiation;491;Resource Order Initiation function issues valid and complete resource orders, and stores the order into an appropriate data store. As part of order publication, additional data might be obtained or derived to support downstream functions that are not provided in the resource order request.;4056
Resource Domain;Fulfillment;Resource Order Management;Resource Order Initialization;Resource Order Configuration;484;Resource Order Configuration implements the request of Resource configuration specified in a Resource Order. Resource configuration can be derived from Resource order details in addition to inherent business rules from Resource specifications.;4057
Resource Domain;Fulfillment;Resource Order Management;Resource Order Orchestration;Local Tactical Plans Implementation;425;Local Tactical Plans Implementation implements tactical plans locally at individual CSP sites and at street level.;4058
Resource Domain;Fulfillment;Supply Chain Fulfillment;Stock Inventory Control;Stock Item Receiving Management;753;"Stock Item Receiving Management provides logistics management functionality controlling quality of resources received from suppliers' or from movements coming from a warehouse (quantity, status).
It also includes controlling materials returned by customers.";4059
Resource Domain;Fulfillment;Supply Chain Fulfillment;Stock Inventory Management;Stock Item Tracking;520;Stock Item Tracking function tracks Resources (through the Barcode) corresponding to each Stock Item for each Warehouse.;4060
Resource Domain;Fulfillment;Supply Chain Fulfillment;Stock Level Management;Stock Item Request Management;939;"Stock Item Requests may come from Customer orders or Stock Level replenishment rules.
Stock Item Request Management function 
   - collects Stock Item Requests,
   - determines actions (including Procurement or reallocation) to be triggered according to Stock Item Requests, Stock Item availability and Stock Level Rules. 
If the Stock Item is available where it is requested, it will assign Stock Item to the request. If it isn't available, it identifies either Stock Item Shipment (to the customer location or a warehouse) or a purchase request realized via Business Partner Order Management.";4061
Resource Domain;Capability Management;Resource Capability Management;Resource Specification Capability Development;Resource Capability Specification Management;737;This function involves the creation, editing, storage and retrieval of capability specifications. The capability specifications represent the general, common and invariant characteristics of resource that may be realized in more than one type of specific resource. Examples of capability are Layer2, Data, radio and Transport.;4089
Resource Domain;Capability Management;Resource Capability Management;Resource Test Resources Check;Resource Test Head Capacity Management;507;Resource Test Head Capacity Management provides management of end to end test head resource capacity.;4090
Resource Domain;Operations Readiness & Support;Resource Management;Resource Repository Reconciliation;Resource Inventory Reconciliation;469;Resource Inventory Reconciliation Function entails a reconciling function for the Repository with inventory discovered from another source (typically, the network). When new inventory information is discovered, this is tried to be matched with an entity or entities already known and updated accordingly and if there is no match then new information is created. It can work periodically or on demand in real-time.;4091
Resource Domain;Fulfillment;Resource Order Management;Resource Order Tracking and Business Value Development;Resource Order Tracking;496;Resource Order Tracking tracks the various resource orders until completed.;4092
Resource Domain;Assurance;Resource Trouble Management;Resource Trouble Analysis;Resource Trouble Cause Identification;1186;"Resource Trouble Cause Identification Function supports the trouble causes identification, that is to say the reasons why the installed resource is in trouble and among these reasons the root cause of the resource trouble.
It implements Resource Problem Policy composed of diagnostic actions (Test, inventories and historic consultation, workforce intervention, etc.) 

The identification of the resource trouble cause can be made through:

	Analysis of associated Service Trouble Ticket Information (first diagnostic)
	Analysis of associated Resource Trouble Ticket Information (first diagnostic)
	Analysis of Resource alarm events (fault of performance data)
	Issuing resource tests, including one time tests or a series of tests over a period of time
	Analysis of previous resource test results, resource usage historic, QoS historic, equipment logs, anomaly historics, etc.
";4093
Resource Domain;Assurance;Resource Trouble Management;Resource Trouble Analysis;Resource Trouble Resolution;1187;Resource Trouble Resolution Function identifies the necessary resolution actions to solve the Resource Trouble according to Resource Problem Policy. It is based on diagnostic results.;4094
Resource Domain;Assurance;Resource Trouble Management;Resource Trouble Repository Management;Resource Trouble Ticket Reporting;1169;Resource Trouble Ticket Reporting Function reports Resource Trouble Tickets progress.;4095
Resource Domain;Assurance;Resource Trouble Management;Resource Trouble Repository Management;Resource Trouble Ticket Repository Management;1166;"Resource Trouble Ticket Repository Management Function records Resource Trouble Tickets and manages its lifecycle.
It also manages corresponding registered Resource Troubles and relationships between Resource Troubles.
A Resource Trouble Ticket can be created 

	further to a Product Trouble Ticket resulting from the qualification of a problem indicated by a customer on a material product, 
	or to a Service Trouble Ticket when the resource(s) responsible for the service trouble is (are) identified,
	or following resource validated alarms,
	or QoS decreasing validated report.
";4096
Resource Domain;Assurance;Resource Trouble Management;Resource Trouble Ticket Management;Resource Trouble Identification;1167;"Resource Trouble Identification Function identifies and triggers diagnostic actions relevant to identify the resource trouble, depending on the resource type and rules defined by the Resource Problem Policy Management function.
It triggers the corresponding actions and analysis of their results.";4098
Resource Domain;Assurance;Resource Trouble Management;Resource Trouble Ticket Management;Resource Trouble Ticket Escalation Management;1185;Resource Trouble Ticket Escalation Management Function identifies if an escalation has to be triggered and find corresponding actions when relevant.;4099
Resource Domain;Fulfillment;Supply Chain Fulfillment;Logistic Availability;Stock Item Assignment;1165;Stock Item Assignment Function enables booking and release of a tangible product.;4100
Resource Domain;Fulfillment;Supply Chain Fulfillment;Logistic Availability;Stock Item Availability Check;1164;"Stock Item Availability Check Function allows one to:

	Check the availability of tangible products in warehouses
	Get the delivery duration 

For this function, the supply chain uses its own stock and delivery duration, but also the stock and delivery duration of its partners.";4101
Resource Domain;Operations Readiness & Support;Work Order Management;Work Order Tracking and Business Value Development;Work Order Updating;552;Work Order Updating updates the transition of the order through its various states, including in-flight changes and cancellations;4102
Resource Domain;Capability Management;Network Development;Network Access Management;Network Sourcing;1266;Network Sourcing function is responsible for identifying, securing rights to, and integrating with networks and network elements that are owned by other network operators, in order to augment a service provider's own coverage, for situations where building or buying network is impractical due to strategic, financial or timing concerns.;4112
Business Partner Domain;Operations Readiness & Support;Business Partner Management;Collect and Qualify Business Partner Information;Business Partner Information Collection;1236;"The Business Partner Information Collection Aggregate Function enables collecting our knowledge of the Business Partner to keep or produce an up-to-date and accurate Business Partner information view.
It will incorporate into the Business Partner Information view, all relevant information gathered through all contacts with the Business Partner and in particular his field of activity.
Business Partner Information from other sources may be gathered, which will build a better knowledge of the supplier.";2035
Business Partner Domain;Operations Readiness & Support;Business Partner Management;Collect and Qualify Business Partner Information;Qualify Business Partner Information;1237;The Collect and Qualify Business Partner Information Aggregate Function is in charge of qualifying Business Partner Information collected including legal compliance.;2036
Business Partner Domain;Operations Readiness & Support;Business Partner Management;Business Partner Product Repository Management;Business Partner Product Relationship Management;1239;The Business Partner Product Relationship Management Function manages relationships between Products bought from the Business Partner with the CSP's (Customer Service Provider) different level of installed base (Product, Know-How a.k.a CustomerFacingService, Technical Solution a.k.a ResourceFacingService and Resource).;2037
Business Partner Domain;Operations Readiness & Support;Business Partner Management;Business Partner Onboarding;Business Partner Technical Onboarding;1321;Business Partner Technical Onboarding function enables electronic interactions between a service provider's systems and external partners' systems. External partners may be customers, suppliers, or third parties.;2112
Business Partner Domain;Assurance,Billing,Fulfillment;Business Partner Welcome and Interaction;Business Partner Interaction Management;Business Partner Portal Access;1346;Business Partner Portal Access function supports providing a single entry point and self-service access to Business Partners to functions and information relevant to those Parties' interactions with the CSP. Responsible for ensuring that appropriate role-based security functions are employed, and for ensuring the safe and secure capture and/or delivery of information.  The provision of the functions accessed through the portal are the responsibility of those functions, not of the portal.;2136
Business Partner Domain;Fulfillment;Business Partner Order Management;Business Partner Order Validation;Voucher Ordering;565;Voucher Ordering includes the ability to generate, modify, authorize and associate a PIN with serial numbers and dispatch the order to the manufacturer.;2787
Business Partner Domain;Assurance;Business Partner Performance Management;Business Partner Trouble Ticket Management;Operational Issues Integration;637;Operational Issues Integration provides receiving and passing inquires and issues between the service provider and (supplier) partner per contractual arrangements.;2856
Business Partner Domain;Assurance;Business Partner Performance Management;Business Partner Performance Evaluation;Partner Performance Management;638;Partner Performance Management provides collection and analyzing of the performance of the supplier/partner or service provider equipment as well as the performance of the actual partner or service provider.;2857
Business Partner Domain;Assurance;Business Partner Performance Management;Business Partner Trouble Ticket Management;Partner Problems Receiving;639;Partner Problems Receiving provides receiving of problems from the partner that require service provider assistance in resolving.;2858
Business Partner Domain;Billing;Business Partner Invoice Management;Settlement Management;Settlement Adjustment and Billed Charges Collection;640;Settlement Adjustment and Billed Charges Collection gathers substantiating adjustment and billing data to support supplier/partner invoice reconciliation and partner settlements.;2859
Business Partner Domain;Billing;Business Partner Rating;Business Partner Bill Calculation;Statistics on Supplier/Partner Activities Collection;641;Statistics on Supplier/Partner Activities Collection collects supplier/partner statistics on Supplier/Partner activities data to support supplier/partner invoice reconciliation and partner settlements.;2860
Business Partner Domain;Billing;Business Partner Invoice Management;Settlement Management;Supplier/Partner Settlements;643;Partner Settlements provides the necessary functionality to calculate a settlement with the partner, initiate the payment or bill to the partner.;2862
Business Partner Domain;Billing;Business Partner Invoice Management;Settlement Management;Supplier/Partner Settlements Reporting;644;Supplier/Partner Settlements Reporting provides the necessary functionality to create reports that substantiate the settlement.;2863
Business Partner Domain;Fulfillment;Business Partner Order Management;Business Partner Order Validation;Purchase Requisition Management;646;Purchase Requisition Management function manages the purchase requests and approvals and convert purchase approvals into standard purchase orders. It also manages requisitions for Network infrastructure maintenance and investment, only used for purchase of Network infrastructure. E.g.: Technical partner needs to purchase material for a planned or emergency infrastructure work. It may then be booked as an investment or maintenance expenditure.;2865
Business Partner Domain;Fulfillment;Business Partner Order Management;Business Partner Order Validation;Partner Order Management;647;Partner Order Management tracks, monitors and reports on a service provider initiated order to ensure that the interactions are in accordance with the agreed commercial arrangements between the service provider and another party.;2866
Business Partner Domain;Business Value Development;Business Partner Product Specification and Offering Management;Business Partner Product Specification and Offering Onboarding;Product Sourcing Registration;649;Product Sourcing Registration provides initiation of product instantiation into the service provider product catalog and/or store front, including product prices.;2868
Business Partner Domain;Business Value Development;Business Partner Product Specification and Offering Management;Business Partner Product Specification and Offering Onboarding;Partner Product Certification;650;Partner Product Certification provides product certification/decertification to be an integrated part of the service provider's value proposition.;2869
Business Partner Domain;Business Value Development;Business Partner Product Specification and Offering Management;Business Partner Product Specification and Offering Onboarding;Product Onboarding Support;651;Product Onboarding Support provides product onboarding, updating, and decommissioning.;2870
Business Partner Domain;Billing;Business Partner Invoice Management;Business Partner Invoice Matching;Supplier/Partner Invoice Reconciliation;652;Supplier/Partner Invoice Reconciliation uses the charges (and e.g. adjustments) from the supplier/partner along with substantiating information available to the service provider to reconcile the invoice presented by the supplier/partner.;2871
Business Partner Domain;Operations Readiness & Support;Business Partner Management;Business Partner Agreement Management;Contract Management;653;Contract Management, including establishment, modification, and termination.;2872
Business Partner Domain;Assurance,Billing,Fulfillment;Business Partner Welcome and Interaction;Business Partner Relationship Management;Potential Partner Identification;654;Potential Partner Identification by managing the evaluation of potential partners, to determine partners and partner's engagements that best meet the enterprises needs;2873
Business Partner Domain;Assurance;Business Partner Performance Management;Business Partner Trouble Ticket Management;Partner Billing and Settlement Disputes Management;656;Partner Billing and Settlement Disputes Management of inter-carrier billing and settlement disputes and other supplier/partner services including content and e-commerce disputes.;2875
Business Partner Domain;Billing;Business Partner Rating;Business Partner Bill Calculation;Partner Record Automated Error Correction;657;Partner Record Automated Error Correction provides automatic handling of records found in error, mass correction and re-rating of events. Including forwarding to manual handling in case automatic correction isn't possible.;2876
Business Partner Domain;Billing;Business Partner Financial Management;Business Partner Payment Management;Partner Payments Management;658;Partner Payments Management handles payments in the area of Supplier/Partner billing and settlement, logging and tracking of full or partial payments.;2877
Business Partner Domain;Billing;Business Partner Invoice Management;Business Partner Invoicing;Automated Billing/Settlement Monitoring;659;Automated Billing/Settlement Monitoring tools for monitoring of automated billing, settlement and payment to ease and expedite dispute management.;2878
Business Partner Domain;Billing;Business Partner Invoice Management;Business Partner Invoicing;Partner Invoice Management;660;Partner Invoice Management provides accurate, flexible bi-directional invoicing for various settlement periods.;2879
Business Partner Domain;Billing;Business Partner Rating;Business Partner Bill Calculation;Partner Business Event Processing;661;Partner Business Event Processing processes the events generated by the partners business activities for invoicing and payment purposes, including accounting of partners' activities.;2880
Business Partner Domain;Business Value Development;Business Partner Product Specification and Offering Management;Business Partner Product Specification and Offering Onboarding;Sourcing Reference Data Collection;662;Sourcing Reference Data Collection collects definition of products and services, pricing schemes, partner entities and contracts into the system. Easy uploading of reference data from external sources such as XML files.;2881
Business Partner Domain;Operations Readiness & Support;Business Partner Management;Business Partner Role Repository Management;Partner Workflow Management;746;Partner Workflow Management function provides workflow and orchestration for supplier/partner management activities.;3070
